"collection title","accession id","accession date"
"Allen, Sue and Greer. Collection","gwstjc1jzzfk9","2015-01-27T16:35:12.236794"
"Amberg, Alan, Gay History Collection. Digital Collection","jnmvw164drv6c","2012-11-12T13:03:32.123237"
"American Association for Public Opinion Research. Records","hg2t9mx37x6zn","2013-12-09T14:35:26.115486"
"American Association for Public Opinion Research. Records","g8gffpvg1g1d9","2013-12-17T10:35:09.772892"
"American Association for Public Opinion Research. Records","4sd58104j8r6w","2014-12-01T13:58:18.763887"
"American Association for Public Opinion Research. Records","1hx66z7rr3fjg","2015-02-12T11:44:49.338367"
"American Association for Public Opinion Research. Records","0109jsfrztdcf","2015-09-29T10:42:05.362470"
"American Environmental Photographs. Digital Collection","acq6q9q0t50","2008-03-19T14:40:54"
"American Recipes. Digital Collection","ac62b2x158k","2011-03-29T14:38:01"
"Anania, Michael. Digital Collection","zcnsv73v9482n","2012-11-12T13:11:42.015218"
"Anastaplo, George. Papers","b46qm824q9fg5","2014-05-16T13:25:46.131100"
"Anastaplo, George. Papers","5wkj5tfc8mf7m","2015-02-05T15:34:10.802439"
"Anders, Edward. Papers","g9cmp99trrkbj","2015-02-06T15:54:37.188748"
"Anderson, William H. and the Anti-Saloon League. Digital Collection","acp2w18638n","2011-03-29T14:49:47"
"Archicofradía del Santísimo Sacramento y Caridad. Digital Collection","f6f9vmkgpvtw1","2011-09-13T09:24:14"
"Archival Monographs. Digital Collection","q0sv101h5j954","2012-03-28T17:32:01"
"Archival Photographic Files Series II, II Addenda, III and IV Metadata [obsolete]","ac000000001","2008-04-03T13:04:09"
"Archival Photographic Files [obsolete]","ac37k748g5t","2008-03-19T14:40:54"
"Archival Photographic Files, Series: II [obsolete]","ac39k16692f","2008-03-19T14:40:54"
"Archival Photographic Files, Series: VI  [obsolete]","acq2s1k561r","2010-12-14T13:23:18"
"Audio Collection, Cassettes. Digital Collection ","sg7sk74gdfpf1","2012-11-12T15:44:58.454776"
"Audio Collection, Cassettes. Digital Collection ","d20xq4zgw0kjg","2014-04-24T13:48:01.545365"
"Audio Collection, Harper Tapes. Digital Collection ","zvzhx8f385ts1","2012-11-12T16:48:34.616931"
"Audio Collection, Harper Tapes. Digital Collection ","xsszvf745d4bs","2014-09-23T12:30:56.294017"
"Audio Collection, Office of Radio and Television, Conversations at Chicago. Digital Collection ","jsn8n2g1tfc04","2012-09-20T10:12:49"
"Audio Collection, Office of Radio and Television, Conversations at Chicago. Digital Collection ","s8v75fkh6wmjf","2012-11-07T16:19:28.417782"
"Audio Collection, Office of Radio and Television, From the Midway. Digital Collection","mcdw38tw5rnnx","2012-09-25T15:54:23"
"Audio Collection, Office of Radio and Television, From the Midway. Digital Collection","1f36sths5qqc2","2013-08-28T15:20:00.780802"
"Audio Collection, Office of Radio and Television, From the Midway. Digital Collection","w1scq55t5qvnd","2014-09-23T12:46:09.522074"
"Audio Collection, Office of Radio and Television, From the Midway. Digital Collection","ms8rnx1z2c93s","2015-09-14T12:20:31.107393"
"Audio Collection, Reel Tapes. Digital Collection","06fwk0pg11v7b","2012-11-12T16:24:08.722274"
"Audio Collection, Wire Recordings. Digital Collection ","47mc2b2h629pn","2012-11-12T16:54:51.120912"
"Austen, Ralph. Papers","xpgx1bt2n50s7","2014-06-26T12:02:51.351445"
"Bakwin, Dr. Harry and Dr. Ruth Morris Bakwin. Soviet Posters. Digital Collection","r94w93dw5ncv2","2012-11-27T09:55:02.465878"
"Baldwin, Loammi. Digital Collection","act0g8f4m4f","2011-03-29T14:54:05"
"Beck, Robert. Papers","sd6x0wsrs148x","2014-12-30T12:44:23.184221"
"Beck, Robert. Papers","dcqnv0whd3fkv","2015-09-30T09:42:12.171764"
"Bekker, Immanuel. Digital Collection","s7tt6hd03r7fc","2011-09-19T15:39:48"
"Bellow, Saul. Digital Collection","3b4gj9sbjwsnt","2012-12-12T16:12:07.514941"
"Bertola, Wayne. Collection","1p9dtkxz86fq0","2013-09-09T16:09:10.789849"
"Bogue, Donald J. Papers","mtz731rccspmh","2015-01-27T17:01:39.907683"
"Bogue, Donald J. Papers","zjc2thq1r6w9f","2015-01-28T09:41:41.764392"
"Brainerd, Mary Bowen. Digital Collection","xtpbs9b10stbm","2011-09-19T09:13:15"
"Browning, Don. Papers","h09rqc97p7fn0","2015-01-28T11:26:01.349321"
"Browning, Don. Papers","tp8gt1f7hs43f","2015-09-18T12:00:58.983778"
"Butler-Gunsaulus. Digital Collection","mjgv7cd59tqdt","2013-04-08T09:40:04.362626"
"Caballero, Fernan. Digital Collection","znswmhzbtz867","2011-10-31T15:57:04"
"Camille, Michael. Papers","xv93p5w640729","2015-02-09T12:29:20.841751"
"Camille, Michael. Papers","dgr2rq782s1dh","2015-08-27T14:58:14.114773"
"Campus Publications Digital Collection","mr4bj958qs5dc","2011-06-10T14:08:00"
"Campus Publications Digital Collection","j7nt8hx3hwzd5","2011-06-10T11:32:48"
"Campus Publications Digital Collection","2s71kqkg89fgq","2011-06-15T11:07:01"
"Campus Publications Digital Collection","6v70z39j9vgc2","2011-06-16T11:44:33"
"Campus Publications Digital Collection","cfjgj31g02gg0","2011-06-20T10:35:43"
"Campus Publications Digital Collection","fqr6nc9bvzmb1","2011-06-23T10:05:15"
"Campus Publications Digital Collection","5gcq3n8pxjzsw","2011-07-21T16:22:23"
"Campus Publications Digital Collection","psccz8dqk3c2d","2011-07-25T15:07:30"
"Campus Publications Digital Collection","t6ggdbf3fgdk2","2011-07-25T15:24:46"
"Campus Publications Digital Collection","j7w806c9xbsb0","2011-07-25T16:08:41"
"Campus Publications Digital Collection","2036zz1q99cp6","2011-07-26T09:53:17"
"Campus Publications Digital Collection","56pk8ggqvqs2v","2011-07-26T10:32:57"
"Campus Publications Digital Collection","kz8zsx188hzr3","2011-07-26T13:20:05"
"Campus Publications Digital Collection","n4cg28cnz5sc3","2011-07-26T13:22:48"
"Campus Publications Digital Collection","7d331rcvjncrr","2011-07-27T09:49:02"
"Campus Publications Digital Collection","r089znx8pc4fm","2011-11-21T11:20:04"
"Campus Publications Digital Collection","pr9fjs2dtn4pj","2012-01-25T12:39:46"
"Campus Publications Digital Collection","xg33bt6bk3k7s","2012-02-09T09:43:43"
"Campus Publications Digital Collection","0wh19dztggpd8","2011-12-12T12:08:18"
"Campus Publications Digital Collection","j4r6schrjnv62","2012-09-18T11:38:22"
"Campus Publications Digital Collection","jwpmn1p86szg7","2012-11-13T13:01:40.491383"
"Campus Publications Digital Collection","nfgwxqrv2m4rr","2012-11-27T12:04:27.015281"
"Campus Publications Digital Collection","8sm8f7n01m3k5","2012-12-04T11:40:35.394531"
"Campus Publications Digital Collection","17w1z2v4fjcz0","2013-03-06T17:15:55.381251"
"Campus Publications Digital Collection","vbd22dxrxr5xw","2013-03-28T17:00:08.700826"
"Campus Publications Digital Collection","t8xzfqfx07k74","2013-04-26T13:58:26.206897"
"Campus Publications Digital Collection","8rvz3dbzd3s2j","2013-07-15T15:35:45.603601"
"Campus Publications Digital Collection","9xbpbx4z3s0v3","2013-07-15T15:39:34.587903"
"Campus Publications Digital Collection","s9gx23kjrzvh8","2014-01-21T11:24:06.048715"
"Campus Publications Digital Collection","bqrhbgxr1tp4x","2014-01-21T11:28:42.991260"
"Campus Publications Digital Collection","wf13zxt7k408j","2015-02-04T14:46:09.775173"
"Campus Publications Digital Collection","4bhmpwjcnfsc5","2015-06-29T16:03:27.724990"
"Campus Publications Digital Collection","16r5hf53f045t","2015-07-27T13:46:45.859054"
"Campus Publications Digital Collection","fqpgj2vbd5jv6","2015-07-27T14:19:35.682378"
"Campus Publications Digital Collection","wh503589sj5hh","2015-08-06T13:16:31.617011"
"Campus Publications Digital Collection","hpctwgwbd4kkb","2015-08-24T16:32:19.011525"
"Campus Publications Digital Collection","zw4xczwm89dkq","2015-09-08T11:11:20.055548"
"Campus Publications Digital Collection","gfvv98j8j5wcn","2015-09-08T14:23:28.687104"
"Campus Publications Digital Collection","jsrfb0tc9tvff","2015-09-11T13:48:48.819476"
"Campus Publications Digital Collection","2mn4w1c38cq4t","2015-09-22T10:46:35.896125"
