"accession id","collection title","accession date"
"acq6q9q0t50","American Environmental Photographs. Digital Collection","2008-03-19"
"ac62b2x158k","American Recipes. Digital Collection","2011-03-29"
"acp2w18638n","Anderson, William H. and the Anti-Saloon League. Digital Collection","2011-03-29"
"f6f9vmkgpvtw1","Archicofradía del Santísimo Sacramento y Caridad. Digital Collection","2011-09-13"
"s7tt6hd03r7fc","Bekker, Immanuel. Digital Collection","2011-09-19"
"xtpbs9b10stbm","Brainerd, Mary Bowen. Digital Collection","2011-09-19"
"znswmhzbtz867","Caballero, Fernan. Digital Collection","2011-10-31"
"j7nt8hx3hwzd5","Campus Publications Digital Collection","2011-06-10"
"mr4bj958qs5dc","Campus Publications Digital Collection","2011-06-10"
"2s71kqkg89fgq","Campus Publications Digital Collection","2011-06-15"
"6v70z39j9vgc2","Campus Publications Digital Collection","2011-06-16"
"cfjgj31g02gg0","Campus Publications Digital Collection","2011-06-20"
"fqr6nc9bvzmb1","Campus Publications Digital Collection","2011-06-23"
"5gcq3n8pxjzsw","Campus Publications Digital Collection","2011-07-21"
"psccz8dqk3c2d","Campus Publications Digital Collection","2011-07-25"
"t6ggdbf3fgdk2","Campus Publications Digital Collection","2011-07-25"
"j7w806c9xbsb0","Campus Publications Digital Collection","2011-07-25"
"2036zz1q99cp6","Campus Publications Digital Collection","2011-07-26"
"56pk8ggqvqs2v","Campus Publications Digital Collection","2011-07-26"
"kz8zsx188hzr3","Campus Publications Digital Collection","2011-07-26"
"n4cg28cnz5sc3","Campus Publications Digital Collection","2011-07-26"
"7d331rcvjncrr","Campus Publications Digital Collection","2011-07-27"
"r089znx8pc4fm","Campus Publications Digital Collection","2011-11-21"
"0wh19dztggpd8","Campus Publications Digital Collection","2011-12-12"
"pr9fjs2dtn4pj","Campus Publications Digital Collection","2012-01-25"
"xg33bt6bk3k7s","Campus Publications Digital Collection","2012-02-09"
"j4r6schrjnv62","Campus Publications Digital Collection","2012-09-18"
"jwpmn1p86szg7","Campus Publications Digital Collection","2012-11-13"
"nfgwxqrv2m4rr","Campus Publications Digital Collection","2012-11-27"
"8sm8f7n01m3k5","Campus Publications Digital Collection","2012-12-04"
"17w1z2v4fjcz0","Campus Publications Digital Collection","2013-03-06"
"vbd22dxrxr5xw","Campus Publications Digital Collection","2013-03-28"
"t8xzfqfx07k74","Campus Publications Digital Collection","2013-04-26"
"8rvz3dbzd3s2j","Campus Publications Digital Collection","2013-07-15"
"9xbpbx4z3s0v3","Campus Publications Digital Collection","2013-07-15"
"s9gx23kjrzvh8","Campus Publications Digital Collection","2014-01-21"
"bqrhbgxr1tp4x","Campus Publications Digital Collection","2014-01-21"
"wf13zxt7k408j","Campus Publications Digital Collection","2015-02-04"
"4bhmpwjcnfsc5","Campus Publications Digital Collection","2015-06-29"
"16r5hf53f045t","Campus Publications Digital Collection","2015-07-27"
"fqpgj2vbd5jv6","Campus Publications Digital Collection","2015-07-27"
"wh503589sj5hh","Campus Publications Digital Collection","2015-08-06"
"hpctwgwbd4kkb","Campus Publications Digital Collection","2015-08-24"
"zw4xczwm89dkq","Campus Publications Digital Collection","2015-09-08"
"gfvv98j8j5wcn","Campus Publications Digital Collection","2015-09-08"
"jsrfb0tc9tvff","Campus Publications Digital Collection","2015-09-11"
"2mn4w1c38cq4t","Campus Publications Digital Collection","2015-09-22"
"5k6f554szkjtp","Campus Publications Digital Collection","2015-09-22"
"8ss4zsz1qxgx4","Campus Publications Digital Collection","2015-09-24"
"j99fm7wmsznwr","Campus Publications Digital Collection","2015-12-14"
"1z8md9h689b1k","Chicago Committee of Fifteen. Digital Collection","2012-01-10"
"acb2x156d49","Chopin Early Editions. Digital Collection","2008-07-28"
"st9wtpcr2xnsn","Chopin Early Editions. Digital Collection","2014-02-04"
"3zdk6hctfs74g","Chopin Early Editions. Digital Collection","2014-04-29"
"0v0wbj9m9m6zx","Chopin Early Editions. Digital Collection","2014-06-26"
"acm524q5r92","Fermi, Enrico. Digital Collection","2011-03-29"
"xfrp418w2pj5w","Field, Eugene. Correspondence. Digital Collection","2011-12-23"
"hqr0gz435p0mm","Heaton, David F.  Papers. Digital Collection","2011-12-21"
"k5crkqzm9g9pc","Lincoln Collection, Lincoln Miscellaneous Manuscripts 1587-1924. Digital Collection","2011-10-17"
"t9mp2hnzx0mv7","Mahon, O'Gorman . Digital Collection","2011-09-14"
"twj2m8k7p55t4","Manuscripts on Cultural Anthropology. Digital Collection","2011-06-09"
"xshh15smk3pmx","Manuscripts on Cultural Anthropology. Digital Collection","2011-07-15"
"vx929jnw2vfdd","Manuscripts on Cultural Anthropology. Digital Collection","2011-08-23"
"zgsxvxn2p03ft","O'Hara, James E. Digital Collection","2012-12-05"
"8cx3bgc30qv80","Paper Dolls. Digital Collection","2011-09-19"
"jdp7qv6w6dqrg","Polanyi, Michael. Digital Collection","2012-10-03"
"dpkp4gtshcxrh","Postcards on Wright's Airplane Ascension at Le Mans. Digital Collection","2013-12-04"
"p1sv6dvvkprzx","The Chicagoan. Digital Collection","2012-11-21"
"cqrjp95v66gbp","The Chicagoan. Digital Collection","2013-02-25"
"1zfxcz7vxzzg7","The Chicagoan. Digital Collection","2013-03-18"
"3xfhcjz628rqf","The Chicagoan. Digital Collection","2013-03-25"
"r72mbhp5kfgrq","The Chicagoan. Digital Collection","2013-04-25"
"jnfhpdx63bx32","The Chicagoan. Digital Collection","2013-05-20"
"bkvkn0jt6wws3","University of Chicago. Founders' Correspondence. Digital Collection","2012-11-27"
"sknhk42831hjf","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2012-08-09"
"zq6mrqzr19dfv","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2013-01-29"
"2nd1986fczrxq","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2013-03-21"
"bczw16f1ng2tb","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2013-05-13"
"hq7r6ttmv93dc","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2013-07-15"
"rk7mw5gsqfmh1","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2013-08-19"
"h7tpmms8sftkg","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2013-10-08"
"k0zxmz2nzh4xw","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2013-10-24"
"wsrp3xs3chwsb","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2013-11-26"
"bvc0wq5dds6zj","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2014-04-17"
"nxv5xk0swqhzj","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2014-04-30"
"f99h2dtw20dpj","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2014-06-19"
"c9h9qg82336mj","University of Chicago. Office of the President, Harper, Judson and Burton Administrations Records 1869-1925. Digital Collection","2015-07-14"
